sno,,station,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101116,YouBike2.0_,金華公園,35,4,大安區,2023/5/8 10:05,25.02984,121.53107,金華街249號對面,Daan Dist.,YouBike2.0_Jinhua Park,No. 249， Jinhua St. (Opposite),31,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:05,2023/5/8
500101117,YouBike2.0_,捷運東門站(3號出口),15,5,大安區,2023/5/8 08:40,25.03383,121.52815,信義路二段128號前,Daan Dist.,YouBike2.0_MRT Dongmen Sta. (Exit 3),No. 128， Sec. 2， Xinyi Rd.,10,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 08:40,2023/5/8
500101118,YouBike2.0_,金甌女中,12,3,大安區,2023/5/8 09:46,25.03519,121.5245,信義路二段與杭州南路二段東南側,Daan Dist.,YouBike2.0_Jin'ou Girls High School,Sec. 2， Xinyi Rd. & Sec. 2， Hangzhou S. Rd. (Southeast),9,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:46,2023/5/8
500101119,YouBike2.0_,金杭公園,20,15,大安區,2023/5/8 10:02,25.03325,121.52436,愛國東路21巷與杭州南路二段25巷口東南側,Daan Dist.,YouBike2.0_Jinhang Park,Ln. 21， Aiguo E. Rd. & Ln. 25， Sec. 2， Hangzhou S. Rd. Intersection (Southeast),5,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:02,2023/5/8
500101120,YouBike2.0_,愛國金山路口,33,27,大安區,2023/5/8 09:15,25.03164,121.52661,愛國東路與杭州南路二段口西南側,Daan Dist.,YouBike2.0_Aiguo & Jinshan Rd. Intersection,Aiguo E. Rd. & Sec. 2， Hangzhou S. Rd. Intersection (Southwest),6,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:15,2023/5/8
500101122,YouBike2.0_,敦化南路二段293巷口南側,14,8,大安區,2023/5/8 10:01,25.0237,121.54899,敦化南路二段293巷口南側,Daan Dist.,YouBike2.0_Ln. 293， Sec. 2， Dunhua S. Rd (South),Ln. 293， Sec. 2， Dunhua S. Rd. (South),6,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:01,2023/5/8
500101123,YouBike2.0_,敦化基隆路口,29,29,大安區,2023/5/8 10:05,25.02215,121.54839,敦化南路二段218號,Daan Dist.,YouBike2.0_Sec. 2， Dunhua S. Rd & Sec. 2， Keelung Rd Intersection,No. 218， Sec. 2， Dunhua S. Rd,0,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:05,2023/5/8
500101124,YouBike2.0_,安和路二段181巷口,17,3,大安區,2023/5/8 09:19,25.02721,121.54988,安和路二段185號,Daan Dist.,YouBike2.0_Ln. 181， Sec. 2， Anhe Rd,No185， Sec. 2， Anhe Rd,14,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:19,2023/5/8
500101125,YouBike2.0_,臨江街夜市(通化街101巷口),30,9,大安區,2023/5/8 10:06,25.02952,121.55406,通化街111號,Daan Dist.,YouBike2.0_Linjiang St night market (Ln. 101， Tonghua St),No. 101， Tonghua St.,21,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:06,2023/5/8
500101126,YouBike2.0_,臨江街夜市(基隆路),17,10,大安區,2023/5/8 10:05,25.02931,121.55721,基隆路二段108號,Daan Dist.,YouBike2.0_Linjiang St night market (Keelung Rd),No. 108， Sec. 2， Keelung Rd.,7,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:05,2023/5/8
500101127,YouBike2.0_,台北科技大學億光大樓,46,34,大安區,2023/5/8 10:01,25.04177,121.53833,忠孝東路三段81號,Daan Dist.,YouBike2.0_National Taipei University of Technology (Everlight Building),No. 81， Sec. 3， Zhongxiao E. Rd.,12,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:01,2023/5/8
500101128,YouBike2.0_,新生南路一段119巷口,33,23,大安區,2023/5/8 10:06,25.04003,121.53299,新生南路一段113號,Daan Dist.,YouBike2.0_Ln. 119， Sec. 1， Xinsheng S. Rd Intersection,No. 113， Ln. 119， Sec. 1， Xinsheng S. Rd.,10,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:06,2023/5/8
500101129,YouBike2.0_,幸安國小(仁愛路),16,8,大安區,2023/5/8 09:15,25.03753,121.53523,仁愛路三段22號,Daan Dist.,YouBike2.0_Xing'an Elementary School (Ren'ai Rd),No. 22， Sec. 3， Ren'ai Rd.,8,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:15,2023/5/8
500101130,YouBike2.0_,民榮公園,15,0,大安區,2023/4/20 07:22,25.03534,121.5354,建國南路一段304巷45號南側,Daan Dist.,YouBike2.0_Minrong Park,No. 45， Ln. 304， Sec. 1， Jianguo S. Rd. (South),15,0,2023/5/8 10:09,2023/5/8 10:09,2023/4/20 07:22,2023/4/20
